,Date,Confirmed,Deaths,Recovered
0,2020-01-22,555,17.0,28
1,2020-01-23,654,18.0,30
2,2020-01-24,941,25.0,36
3,2020-01-25,1434,41.0,39
4,2020-01-26,2118,54.0,52
5,2020-01-27,2927,80.0,61
6,2020-01-28,5578,129.0,107
7,2020-01-29,6167,131.0,125
8,2020-01-30,8235,168.0,141
9,2020-01-31,9927,210.0,219
10,2020-02-01,12038,256.0,281
11,2020-02-02,16787,358.0,459
12,2020-02-03,19887,422.0,604
13,2020-02-04,23898,488.0,821
14,2020-02-05,27643,560.0,1071
15,2020-02-06,30803,629.0,1418
16,2020-02-07,34396,714.0,1903
17,2020-02-08,37130,799.0,2470
18,2020-02-09,40160,898.0,3057
19,2020-02-10,42769,1004.0,3714
20,2020-02-11,44811,1103.0,4417
21,2020-02-12,45229,1108.0,4849
22,2020-02-13,60382,1360.0,5930
23,2020-02-14,66909,1510.0,7613
24,2020-02-15,69051,1653.0,8902
25,2020-02-16,71235,1757.0,10319
26,2020-02-17,73270,1855.0,11951
27,2020-02-18,75152,1995.0,13693
28,2020-02-19,75652,2107.0,15395
29,2020-02-20,76212,2231.0,17370
30,2020-02-21,76841,2235.0,17967
31,2020-02-22,78602,2441.0,21850
32,2020-02-23,78982,2452.0,22304
33,2020-02-24,79546,2612.0,24047
34,2020-02-25,80399,2692.0,26652
35,2020-02-26,81376,2753.0,29087
36,2020-02-27,82736,2795.0,31929
37,2020-02-28,84121,2854.0,35316
38,2020-02-29,86014,2923.0,38324
39,2020-03-01,88397,2977.0,41218
40,2020-03-02,90374,3066.0,44095
41,2020-03-03,92959,3140.0,46691
42,2020-03-04,95276,3234.0,49629
43,2020-03-05,98040,3326.0,52247
44,2020-03-06,102040,3436.0,54310
45,2020-03-07,106102,3530.0,56800
46,2020-03-08,110062,3766.0,59132
47,2020-03-09,114020,3937.0,60931
48,2020-03-10,119036,4210.0,62842
49,2020-03-11,126715,4534.0,65438
50,2020-03-12,132504,4838.0,66759
51,2020-03-13,146882,5249.0,68684
52,2020-03-14,157958,5602.0,71054
53,2020-03-15,169257,6144.0,74464
54,2020-03-16,184002,6762.0,76517
55,2020-03-17,199934,7371.0,79269
56,2020-03-18,219450,8171.0,81752
57,2020-03-19,246602,9063.0,83389
58,2020-03-20,277234,10300.0,85834
59,2020-03-21,309192,11665.0,90100
60,2020-03-22,343436,12913.0,96315
61,2020-03-23,386753,14271.0,96781
62,2020-03-24,428246,16013.0,106322
63,2020-03-25,479208,17906.0,112032
64,2020-03-26,541953,20124.0,120401
65,2020-03-27,606912,22747.0,129105
66,2020-03-28,674295,25503.0,137397
67,2020-03-29,733734,28019.0,146864
68,2020-03-30,798905,31021.0,162310
69,2020-03-31,875799,34844.0,174672
70,2020-04-01,952188,39233.0,190033
71,2020-04-02,1033584,44278.0,206671
72,2020-04-03,1116827,49305.0,221679
73,2020-04-04,1197164,54494.0,241691
74,2020-04-05,1269047,58815.0,255096
75,2020-04-06,1342331,63789.0,271431
76,2020-04-07,1420109,71055.0,294284
77,2020-04-08,1504093,76685.0,322636
78,2020-04-09,1590517,83466.0,346975
79,2020-04-10,1678049,89985.0,368082
80,2020-04-11,1754348,95644.0,393604
81,2020-04-12,1849612,100469.0,412483
82,2020-04-13,1919888,105601.0,439015
83,2020-04-14,1991290,112089.0,463650
84,2020-04-15,2073101,119210.0,499564
85,2020-04-16,2169927,125575.0,529651
86,2020-04-17,2257852,132860.0,554926
87,2020-04-18,2331176,138629.0,578424
88,2020-04-19,2411125,143237.0,609192
89,2020-04-20,2485707,148335.0,630485
90,2020-04-21,2561527,154827.0,664682
91,2020-04-22,2639510,160772.0,693841
92,2020-04-23,2727606,166792.0,722313
93,2020-04-24,2811829,172798.0,771971
94,2020-04-25,2895693,177801.0,798881
95,2020-04-26,2967702,181250.0,826613
96,2020-04-27,3037288,185348.0,852992
97,2020-04-28,3112852,191270.0,885294
98,2020-04-29,3190199,197219.0,926380
99,2020-04-30,3273768,202545.0,990239
100,2020-05-01,3360835,207455.0,1027146
101,2020-05-02,3441229,212194.0,1066969
102,2020-05-03,3517732,215363.0,1098177
103,2020-05-04,3594717,219066.0,1131149
104,2020-05-05,3675343,224639.0,1166713
105,2020-05-06,3765231,230487.0,1211539
106,2020-05-07,3854283,235309.0,1249927
107,2020-05-08,3945564,240283.0,1285493
108,2020-05-09,4030484,244155.0,1338012
109,2020-05-10,4105887,247427.0,1370759
110,2020-05-11,4182813,250551.0,1416855
111,2020-05-12,4267032,255674.0,1452828
112,2020-05-13,4351901,260291.0,1507556
113,2020-05-14,4448489,265099.0,1546344
114,2020-05-15,4544701,269906.0,1593531
115,2020-05-16,4639074,273709.0,1649198
116,2020-05-17,4716634,276834.0,1689372
117,2020-05-18,4805376,280221.0,1741605
118,2020-05-19,4902136,284661.0,1792892
119,2020-05-20,5005145,289074.0,1851092
120,2020-05-21,5111212,293522.0,1901419
121,2020-05-22,5217954,297806.0,2009192
122,2020-05-23,5322822,301418.0,2063453
123,2020-05-24,5417336,304244.0,2118206
124,2020-05-25,5503962,307194.0,2181256
125,2020-05-26,5597057,310737.0,2235769
126,2020-05-27,5699917,315618.0,2298264
127,2020-05-28,5819247,319950.0,2364397
128,2020-05-29,5940297,324195.0,2440797
129,2020-05-30,6077313,327975.0,2510632
130,2020-05-31,6184182,330626.0,2586252
131,2020-06-01,6279943,333459.0,2640264
132,2020-06-02,6401002,337938.0,2743748
133,2020-06-03,6519197,343110.0,2822057
134,2020-06-04,6646023,347967.0,2891427
135,2020-06-05,6776827,352309.0,2959691
136,2020-06-06,6912192,355845.0,3030870
137,2020-06-07,7023956,358371.0,3085382
138,2020-06-08,7126549,361892.0,3236269
139,2020-06-09,7251153,366471.0,3317772
140,2020-06-10,7385695,371245.0,3395804
141,2020-06-11,7523358,375691.0,3480764
142,2020-06-12,7652292,379647.0,3559584
143,2020-06-13,7787813,383587.0,3644692
144,2020-06-14,7920898,386748.0,3714657
145,2020-06-15,8040603,389807.0,3794057
146,2020-06-16,8182428,396218.0,3891461
147,2020-06-17,8324633,400967.0,4008867
148,2020-06-18,8464643,405643.0,4089492
149,2020-06-19,8644664,410317.0,4183969
150,2020-06-20,8802296,414202.0,4299281
151,2020-06-21,8930932,417973.0,4367591
152,2020-06-22,9069000,421329.0,4458744
153,2020-06-23,9233759,426272.0,4562369
154,2020-06-24,9405248,431149.0,4677717
155,2020-06-25,9582933,435631.0,4770233
156,2020-06-26,9774279,440003.0,4876624
157,2020-06-27,9952980,444164.0,4982719
158,2020-06-28,10114975,447095.0,5071590
159,2020-06-29,10271430,450613.0,5165145
160,2020-06-30,10445383,455253.0,5282039
161,2020-07-01,10662447,459854.0,5397667
162,2020-07-02,10869973,464655.0,5682065
163,2020-07-03,11073278,469291.0,5791593
164,2020-07-04,11267186,473374.0,5987143
165,2020-07-05,11450061,476632.0,6106197
166,2020-07-06,11616100,480212.0,6229419
167,2020-07-07,11826991,485893.0,6374164
168,2020-07-08,12038783,490888.0,6531667
169,2020-07-09,12266850,496037.0,6665888
170,2020-07-10,12499272,501009.0,6804905
171,2020-07-11,12715549,505511.0,6930291
172,2020-07-12,12908213,509052.0,7041785
173,2020-07-13,13100335,512593.0,7181687
174,2020-07-14,13322048,517910.0,7323548
175,2020-07-15,13553074,523096.0,7482971
176,2020-07-16,13805647,528547.0,7634975
177,2020-07-17,14047395,534907.0,7794411
178,2020-07-18,14285006,540210.0,7945201
179,2020-07-19,14499561,544039.0,8032886
180,2020-07-20,14705741,548050.0,8191428
181,2020-07-21,14939519,553973.0,8365794
182,2020-07-22,15219960,560657.0,8541906
183,2020-07-23,15502652,570307.0,8711620
184,2020-07-24,15783788,576098.0,8940356
185,2020-07-25,16039372,581416.0,9159394
186,2020-07-26,16252468,584883.0,9299606
187,2020-07-27,16478691,589882.0,9468738
188,2020-07-28,16731312,595974.0,9642337
189,2020-07-29,17020323,602304.0,9843698
190,2020-07-30,17300897,608079.0,10065811
191,2020-07-31,17590772,614001.0,10263728
192,2020-08-01,17841511,619314.0,10448003
193,2020-08-02,18070356,623456.0,10584816
194,2020-08-03,18272598,627574.0,10807144
195,2020-08-04,18531122,634278.0,11028001
196,2020-08-05,18802259,641028.0,11249196
197,2020-08-06,19087557,647325.0,11437989
198,2020-08-07,19368376,653440.0,11630033
199,2020-08-08,19627868,658628.0,11831063
200,2020-08-09,19851891,662987.0,12007591
201,2020-08-10,20079484,667702.0,12169618
202,2020-08-11,20334226,673913.0,12474085
203,2020-08-12,20611313,680238.0,12715022
204,2020-08-13,20897208,686254.0,12879878
205,2020-08-14,21201615,696190.0,13164068
206,2020-08-15,21449672,701221.0,13332737
207,2020-08-16,21661949,705232.0,13563458
208,2020-08-17,21871178,709233.0,13774619
209,2020-08-18,22127561,715900.0,14002061
210,2020-08-19,22401085,722199.0,14218990
211,2020-08-20,22668250,727956.0,14426293
212,2020-08-21,22938783,733278.0,14596361
213,2020-08-22,23204317,738658.0,14805963
214,2020-08-23,23410370,742362.0,15021137
215,2020-08-24,23636469,746560.0,15220401
216,2020-08-25,23878506,752718.0,15452818
217,2020-08-26,24166432,758689.0,15676621
218,2020-08-27,24445639,764287.0,15877734
219,2020-08-28,24727058,769548.0,16077637
220,2020-08-29,24988822,774670.0,16288959
221,2020-08-30,25215033,778355.0,16497192
222,2020-08-31,25477237,782278.0,16697985
223,2020-09-01,25742160,788483.0,16952356
224,2020-09-02,26024038,794258.0,17170544
225,2020-09-03,26304838,799706.0,17390624
226,2020-09-04,26617953,805225.0,17603732
227,2020-09-05,26881529,809961.0,17804293
228,2020-09-06,27103827,813535.0,18014133
229,2020-09-07,27337742,822652.0,18212644
230,2020-09-08,27570721,827111.0,18399855
231,2020-09-09,27862659,833123.0,18651750
232,2020-09-10,28161409,838580.0,18866240
233,2020-09-11,28481297,844226.0,19088911
234,2020-09-12,28758920,848757.0,19311840
235,2020-09-13,28995348,852183.0,19497225
236,2020-09-14,29274625,856151.0,19725747
237,2020-09-15,29557917,862302.0,19949507
238,2020-09-16,29861921,867564.0,20177717
239,2020-09-17,30175281,872622.0,20396252
240,2020-09-18,30499498,877991.0,20647263
241,2020-09-19,30780719,882923.0,20884612
242,2020-09-20,31021936,886422.0,21120002
243,2020-09-21,31320844,890162.0,21362021
244,2020-09-22,31517033,894452.0,21488841
245,2020-09-23,31779766,899594.0,21753585
